Visitor ID,Name,Mobile,Email,Category,Sub Category,Flat/Unit,Block,Status,Registration Date,Current Status
,Jane Smith,9876543211,,,,,,ACTIVE,2025-06-23 14:41,AVAILABLE
STA1001007,Vijay Singh,8876540007,vijay.singh@maintenance.com,Staff,Maintenance,Block B,,ACTIVE,2025-06-23 14:33,CHECKED_IN
STA1001030,Sanjay Mishra,8876540030,sanjay.driver@support.com,Staff,Maintenance,Transport Pool,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1001008,Sanjay Mishra,8876540008,sanjay.mishra@maintenance.com,Staff,Maintenance,Block C,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1001009,Prakash Joshi,8876540009,prakash.joshi@maintenance.com,Staff,Maintenance,Central Plant,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1001018,Dr. Samir Khan,8876540018,samir.khan@facility.com,Staff,Maintenance,Admin Block,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1001010,Ashok Kumar,8876540010,ashok.kumar@maintenance.com,Staff,Maintenance,Workshop,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1001006,Anil Verma,8876540006,anil.verma@maintenance.com,Staff,Maintenance,Block A,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1001020,Amar Singh,8876540020,amar.singh@accounts.com,Staff,Maintenance,Accounts Department,,ACTIVE,2025-06-23 14:33,AVAILABLE
STA1858189,John Doe,9876543210,,Staff,Sales Executive,123 Main St,Apt 4B,ACTIVE,2025-06-23 14:07,AVAILABLE
STA1001005,Dinesh Patel,9876540005,dinesh.patel@security.com,Staff,Security,Main Gate,Security-E,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001015,Manoj Tiwari,9876540015,manoj.tiwari@cleaning.com,Staff,Cleaning,Common Areas,Cleaning-E,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001014,Kiran Pal,9876540014,kiran.pal@cleaning.com,Staff,Cleaning,Block C,Cleaning-D,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001013,Ravi Shankar,9876540013,ravi.shankar@cleaning.com,Staff,Cleaning,Block B,Cleaning-C,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001012,Gopal Das,9876540012,gopal.das@cleaning.com,Staff,Cleaning,Block A,Cleaning-B,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001010,Ashok Kumar,9876540010,ashok.kumar@maintenance.com,Staff,Maintenance,Workshop,Maintenance-E,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001009,Prakash Joshi,9876540009,prakash.joshi@maintenance.com,Staff,Maintenance,Central Plant,Maintenance-D,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001008,Sanjay Mishra,9876540008,sanjay.mishra@maintenance.com,Staff,Maintenance,Block C,Maintenance-C,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001004,Ramesh Yadav,9876540004,ramesh.yadav@security.com,Staff,Security,South Gate,Security-D,ACTIVE,2025-06-23 11:18,AVAILABLE
STA1001005,Dinesh Patel,9876540005,dinesh.patel@security.com,Staff,Security,Main Gate,Security-E,ACTIVE,2025-06-23 10:33,AVAILABLE
STA1001015,Manoj Tiwari,9876540015,manoj.tiwari@cleaning.com,Staff,Cleaning,Common Areas,Cleaning-E,ACTIVE,2025-06-23 10:33,AVAILABLE
STA1001014,Kiran Pal,9876540014,kiran.pal@cleaning.com,Staff,Cleaning,Block C,Cleaning-D,ACTIVE,2025-06-23 10:33,AVAILABLE
